MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
10:c4:ca:5a:4b:d4,UpcBrazell1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:00,11,2462,-91,31.994311,-102.121742,823.8989685,6,,,WIFI
da:31:34:7e:91:d6,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:01,11,2462,-84,31.994529,-102.120803,823.8989685,6,,,WIFI
a8:b1:3b:c5:59:41,DIRECT-40-HP DeskJet 2700 series,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:01,161,5805,-90,31.994311,-102.121742,823.8989685,6,,,WIFI
f4:17:b8:dd:11:ef,YayWiFi!,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:01,6,2437,-88,31.9947136,-102.1218731,823.1248226,4,,,WIFI
a0:68:7e:7b:b4:20,ATTYfEHg4I,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:01,8,2447,-82,31.995644,-102.122176,823.1248226,4,,,WIFI
d0:fc:d0:76:b2:15,ATTxETp4uy_Guest,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:01,9,2452,-92,31.994311,-102.121742,823.1248226,4,,,WIFI
c0:c5:22:e3:34:e0,ARRIS-34E2,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:02,11,2462,-76,31.994143,-102.122482,823.1248226,4,,,WIFI
00:25:f0:06:a7:a6,tl06a7a6,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:02,11,2462,-91,31.994095,-102.122657,823.1248226,4,,,WIFI
b6:07:b8:db:a2:c0,UpcBrazell1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:02,44,5220,-90,31.995644,-102.122176,823.1248226,4,,,WIFI
3e:94:ed:5d:67:37,Woodford's Crib,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],25/10/2024 00:02,3,2422,-75,31.9947136,-102.1218731,823.1248226,4,,,WIFI
6c:cd:d6:35:ee:2c,NETGEAR37,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:02,11,2462,-89,31.994311,-102.121742,823.1248226,4,,,WIFI
a0:2d:13:87:54:4c,ATTuWtUtgT,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:03,11,2462,-85,31.995644,-102.122176,823.1248226,4,,,WIFI
f4:17:b8:ee:23:0a,UpcBrazell1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:04,1,2412,-90,31.9955326,-102.1226523,823.1248226,4,,,WIFI
f4:17:b8:db:a2:42,UpcBrazell1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:04,1,2412,-78,31.995426,-102.123108,823.1248226,4,,,WIFI
0c:7c:28:ba:f4:cc,ATTHA7Gex7,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:04,11,2462,-76,31.995644,-102.122176,823.1248226,4,,,WIFI
fa:34:5a:15:2b:68,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:04,1,2412,-88,31.9957503,-102.1217267,822.8916293,4,,,WIFI
3e:94:ed:5d:67:a7,Woodford's Crib,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],25/10/2024 00:05,3,2422,-72,31.995866,-102.121238,822.8916293,4,,,WIFI
da:31:34:7e:91:d6,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:05,11,2462,-71,32.009468,-102.124206,822.8916293,4,,,WIFI
b4:63:6f:02:63:34,ATThJTk8jb,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:05,11,2462,-82,32.010283,-102.124473,822.8916293,4,,,WIFI
f8:34:5a:15:2b:68,Mortyswifi,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS],25/10/2024 00:06,1,2412,-86,32.009994,-102.125732,822.8916293,4,,,WIFI
08:9b:b9:31:d4:44,Boomer,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:06,11,2462,-91,32.009975,-102.125877,822.8916293,4,,,WIFI
10:0c:6b:e4:b6:e7,NETGEAR09,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:06,7,2442,-94,32.0099684,-102.1260286,822.873787,4,,,WIFI
8a:5a:85:d5:bc:36,MOMS CAR,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:06,6,2437,-89,32.009997,-102.126182,822.873787,4,,,WIFI
6c:cd:d6:38:5f:2c,NETGEAR37,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:06,153,5765,-90,32.009468,-102.124206,822.873787,4,,,WIFI
f4:17:b8:db:a2:ce,UpcBrazell1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:07,6,2437,-81,32.009532,-102.123939,822.873787,4,,,WIFI
dc:36:0c:fd:f0:88,SOSMidland-2.4G,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS],25/10/2024 00:08,11,2462,-87,32.009526,-102.12387,822.873787,4,,,WIFI
28:74:f5:4b:f6:64,ATTuWtUtgT,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:09,6,2437,-85,32.009484,-102.123802,822.6084043,4,,,WIFI
10:0c:6b:e4:b6:e7,NETGEAR09,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:09,7,2442,-89,32.008677,-102.123535,822.6084043,4,,,WIFI
38:94:ed:61:76:7a,Woodford's Crib,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],25/10/2024 00:10,3,2422,-86,32.009468,-102.124206,822.6084043,4,,,WIFI
10:c4:ca:5a:4b:d4,UpcBrazell1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:10,11,2462,-86,32.009318,-102.124847,822.9254966,4,,,WIFI
38:94:ed:5d:67:a9,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:10,157,5785,-93,32.0093284,-102.1250399,822.9254966,4,,,WIFI
d0:fc:d0:72:fe:84,ATTunFkUSP,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:11,1,2412,-92,32.0038674,-102.0944678,823.2259839,4,,,WIFI
00:25:f0:06:a7:a6,tl06a7a6,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:12,11,2462,-85,32.003902,-102.094451,823.2259839,4,,,WIFI
e0:1f:2b:d9:e7:3e,WallerHouse,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS],25/10/2024 00:12,161,5805,-71,32.004154,-102.094306,823.2259839,4,,,WIFI
8c:85:80:ca:8b:6c,,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:12,5,2432,-89,32.004375,-102.094215,823.2259839,4,,,WIFI
64:c2:69:da:a8:26,Booth House,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:12,36,5180,-89,32.0044552,-102.0942053,823.2259839,4,,,WIFI
08:9b:b9:31:d4:44,Boomer,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:13,11,2462,-86,32.004757,-102.094169,823.2259839,4,,,WIFI
22:ef:bd:44:10:a0,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:14,6,2437,-86,32.005008,-102.094192,823.540384,4,,,WIFI
fa:8f:ca:6b:6d:47,Polk MagniFi 24670.l029,[ESS],25/10/2024 00:14,6,2437,-93,32.0038674,-102.0944678,824.1627436,4,,,WIFI
60:38:e0:88:1c:38,Linksys09684,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:14,7,2442,-85,32.0038175,-102.0945885,824.7496631,4,,,WIFI
10:c4:ca:5a:4b:d4,UpcBrazell1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:15,11,2462,-79,32.0037707,-102.0946986,824.7496631,4,,,WIFI
a0:68:7e:7b:b4:23,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:16,161,5805,-89,32.0037422,-102.0947644,824.7496631,4,,,WIFI
fa:8f:ca:6b:6d:47,Polk MagniFi 24670.l029,[ESS],25/10/2024 00:16,6,2437,-82,32.005008,-102.094192,824.7496631,4,,,WIFI
b6:07:b8:db:a2:c0,UpcBrazell1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:16,44,5220,-76,32.005191,-102.094208,824.7496631,4,,,WIFI
36:47:b8:db:a2:44,UpcBrazell1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:16,44,5220,-75,32.0054668,-102.0942954,824.7496631,4,,,WIFI
f6:c7:b8:ee:23:0c,UpcBrazell1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:17,36,5180,-89,32.005958,-102.094451,824.7496631,4,,,WIFI
c6:17:b8:db:a2:d1,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:17,132,5660,-88,32.005008,-102.094192,824.7496631,4,,,WIFI
f4:17:b8:db:a2:42,UpcBrazell1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:17,1,2412,-69,32.004757,-102.094169,824.7496631,4,,,WIFI
36:57:b8:db:a2:45,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:18,132,5660,-90,32.0044552,-102.0942053,824.7496631,4,,,WIFI
44:a5:6e:26:78:7a,HiroRose-5G,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:18,153,5765,-89,32.004375,-102.094215,824.7496631,4,,,WIFI
a6:68:7e:7b:b4:23,ATTYfEHg4I,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:18,161,5805,-90,32.004154,-102.094306,824.7496631,4,,,WIFI
f4:17:b8:db:a2:ce,UpcBrazell1,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:18,6,2437,-73,32.003902,-102.094451,824.7496631,4,,,WIFI
fa:34:5a:15:2b:68,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:18,1,2412,-79,32.0038674,-102.0944678,825.2542201,6,,,WIFI
a0:68:7e:7b:b4:23,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:19,161,5805,-84,32.005008,-102.094192,825.2542201,6,,,WIFI
fa:34:5a:15:2b:60,Mortyswifi,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS],25/10/2024 00:19,149,5745,-85,32.004913,-102.094489,825.2542201,6,,,WIFI
f8:34:5a:15:2b:70,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:19,149,5745,-84,32.004863,-102.094963,825.2542201,6,,,WIFI
6c:4b:b4:6d:27:c4,Asp8tia,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:20,5,2432,-93,32.004783,-102.095321,825.2542201,6,,,WIFI
6c:cd:d6:35:ee:2c,NETGEAR37,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:20,11,2462,-79,32.004471,-102.096138,825.2542201,6,,,WIFI
00:cb:51:74:bc:86,74bc82,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:20,11,2462,-89,32.005958,-102.094451,825.2542201,6,,,WIFI
6c:4b:b4:85:bd:84,ATTcVs283B,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:20,2,2417,-90,32.005478,-102.096511,825.2542201,6,,,WIFI
f8:34:5a:15:2b:68,Mortyswifi,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS],25/10/2024 00:20,1,2412,-81,32.005958,-102.094451,825.2542201,6,,,WIFI
44:a5:6e:26:78:78,HiroRose,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:21,10,2457,-91,32.006198,-102.093414,825.2542201,6,,,WIFI
38:94:ed:5d:67:a9,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:21,157,5785,-87,32.005958,-102.094451,824.9000875,4,,,WIFI
08:9b:b9:89:d1:e4,ATTyYNeMh8,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:21,11,2462,-88,32.0064392,-102.0945959,824.9000875,4,,,WIFI
3e:94:ed:5d:67:37,Woodford's Crib,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],25/10/2024 00:22,3,2422,-67,32.006871,-102.094726,824.5332031,4,,,WIFI
10:86:8c:14:94:98,ARRIS-949A,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:22,11,2462,-90,32.005958,-102.094451,824.5332031,4,,,WIFI
38:94:ed:5d:67:a8,Woodford's Crib,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],25/10/2024 00:22,40,5200,-79,32.0054668,-102.0942954,824.5332031,4,,,WIFI
38:94:ed:61:76:7a,Woodford's Crib,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],25/10/2024 00:23,3,2422,-73,32.005191,-102.094208,824.5332031,4,,,WIFI
38:94:ed:61:76:7b,Woodford's Crib,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],25/10/2024 00:23,40,5200,-90,32.005008,-102.094192,824.5319408,4,,,WIFI
