SSID,BSSID,Encryption,CurrentLatitude,CurrentLongitude,Channel,Frequency,Last Update
Texas SIgn Pros 325-698-8785,00:02:6F:FD:61:F6,wep,31.99791941,-102.093097,10,,2022-07-11T20:00:00.000Z
Wireless,00:09:5B:26:FC:66,none,31.9998337,-102.0890952,11,,2022-07-11T20:00:00.000Z
Sprint Drive,00:0A:F5:27:B0:AC,wpa2,32.01292783,-102.0950471,6,,2022-07-11T20:00:00.000Z
Sprint Drive,00:0A:F5:4F:B1:74,wpa2,31.99777433,-102.0957207,6,,2022-07-11T20:00:00.000Z
HSA-15-89018,00:0A:F5:7A:EE:B4,wpa2,32.00042067,-102.0965647,11,,2022-07-11T20:00:00.000Z
Sprint Drive,00:0A:F5:F4:A0:28,wpa2,32.01099822,-102.093974,11,,2022-07-11T20:00:00.000Z
Philips-WIFI,00:0E:8E:78:67:FE,wpa2,32.00926256,-102.0831366,3,,2022-07-11T20:00:00.000Z
WiFi_OBDII,00:0E:C6:06:C6:07,unknown,32.00033218,-102.0879525,1,,2022-07-11T20:00:00.000Z
WiFi_OBDII,00:0E:C6:0D:A2:C6,wep,32.005176,-102.084823,1,,2021-09-17T04:00:00.000Z
linksys,00:0F:66:2F:B3:23,none,32.00585332,-102.0944178,6,,2022-07-11T20:00:00.000Z
ZAPOID,00:0F:66:75:6A:4D,none,32.00695686,-102.1006522,9,,2022-07-11T20:00:00.000Z
buxton,00:0F:66:77:21:B1,wep,31.997829,-102.0847593,11,,2022-07-11T20:00:00.000Z
FBCWi-Fi,00:0F:B5:61:B9:20,wep,32.01185631,-102.1014991,6,,2022-07-11T20:00:00.000Z
Graycar,00:10:02:23:2E:95,wpa2,32.01169878,-102.092974,6,,2023-06-11T16:00:00.000Z
Belkin_Pre_N_D09CA2,00:11:50:CF:ED:B8,wpa,31.99770256,-102.1030805,1,,2022-07-11T20:00:00.000Z
linksys,00:12:17:0E:19:30,none,32.00555078,-102.0980553,6,,2022-07-11T20:00:00.000Z
fland,00:12:17:11:48:BC,wep,32.003517,-102.083168,6,,2022-07-11T20:00:00.000Z
My BMW Hotspot 0445,00:13:1E:3C:B6:3D,wpa2,32.0041001,-102.0850282,1,,2022-11-27T13:00:00.000Z
My BMW Hotspot 5362,00:13:1E:A3:BE:27,wpa2,32.01026672,-102.0853604,1,,2022-07-11T20:00:00.000Z
2WIRE893,00:14:95:F5:CC:C9,wep,32.0118918,-102.0999696,6,,2022-07-11T20:00:00.000Z
2WIRE515,00:14:95:F5:DA:51,wep,32.000321,-102.096534,6,,2022-07-11T20:00:00.000Z
MMHWirelessGuest,00:15:F9:1A:B2:40,wep,32.008267,-102.092696,6,,2022-07-11T20:00:00.000Z
MMH-Wireless,00:15:F9:1A:B3:40,wpa2,31.99738391,-102.0871498,1,,2022-07-11T20:00:00.000Z
MMH-Wireless-Voice,00:15:F9:1A:B3:41,wpa2,32.00930756,-102.0976873,1,,2022-07-11T20:00:00.000Z
MMH-Guest,00:15:F9:1A:B3:43,none,31.99663478,-102.0851749,1,,2022-07-11T20:00:00.000Z
MMH-Wireless,00:15:F9:1A:B5:A0,wpa2,32.008514,-102.101119,1,,2022-07-11T20:00:00.000Z
MMH-Wireless-Voice,00:15:F9:1A:B5:A1,wpa2,32.00135733,-102.1024741,1,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:15:F9:1A:B5:A2,wpa2,32.00526909,-102.0917131,1,,2022-07-11T20:00:00.000Z
MMH-Guest,00:15:F9:1A:B5:A3,none,32.005958,-102.094451,1,,2022-07-11T20:00:00.000Z
MMHWirelessGuest,00:15:F9:1A:B6:F1,none,32.01118048,-102.1010623,6,,2022-07-11T20:00:00.000Z
MMHWirelessGuest,00:15:F9:1A:B9:31,none,32.0044751,-102.1021891,1,,2022-07-11T20:00:00.000Z
MMHWirelessGuest,00:15:F9:1A:BB:50,none,32.00959778,-102.0880764,1,,2022-07-11T20:00:00.000Z
MMHWirelessGuest,00:15:F9:1A:BB:D0,none,32.0063772,-102.0983141,6,,2022-07-11T20:00:00.000Z
maincampus,00:15:F9:1A:BE:10,wep,32.005478,-102.096511,11,,2022-07-11T20:00:00.000Z
MMH-Wireless-Voice,00:15:F9:1A:BE:11,wpa2,31.999791,-102.0963646,11,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:15:F9:1A:BE:12,wpa2,32.00252611,-102.0864174,11,,2022-07-11T20:00:00.000Z
MMHWirelessGuest,00:15:F9:1A:BE:B0,none,32.00900056,-102.0943102,11,,2022-07-11T20:00:00.000Z
MMHWirelessGuest,00:15:F9:1A:DC:40,wep,31.99957535,-102.1030614,1,,2022-07-11T20:00:00.000Z
MMHWirelessGuest,00:15:F9:1A:DC:41,none,32.01190334,-102.0868017,6,,2022-07-11T20:00:00.000Z
MMHWirelessGuest,00:15:F9:1A:DC:50,wep,32.0029521,-102.0945492,11,,2022-07-11T20:00:00.000Z
MMHWirelessGuest,00:15:F9:1A:DC:F0,none,31.99776629,-102.1019157,11,,2022-07-11T20:00:00.000Z
MMHWirelessGuest,00:15:F9:1A:DD:90,none,31.9963296,-102.0956472,11,,2022-07-11T20:00:00.000Z
MMHWirelessGuest,00:15:F9:1A:E1:40,none,32.01116337,-102.0968757,6,,2022-07-11T20:00:00.000Z
MMHWirelessGuest,00:15:F9:1A:E4:20,none,32.00972679,-102.090638,1,,2022-07-11T20:00:00.000Z
MMHWirelessGuest,00:15:F9:1A:E4:B0,wep,31.99920725,-102.0888891,11,,2022-07-11T20:00:00.000Z
MMHWirelessGuest,00:15:F9:1A:E4:C0,wep,32.01219172,-102.0980884,6,,2022-07-11T20:00:00.000Z
MMH-Wireless,00:15:F9:1A:E6:80,wpa2,32.00993293,-102.1022093,1,,2022-07-11T20:00:00.000Z
MMH-Wireless-Voice,00:15:F9:1A:E6:81,wpa2,31.99916163,-102.0888736,1,,2022-07-11T20:00:00.000Z
MMH-Med-Wireless,00:15:F9:1A:E6:82,wpa2,32.00946067,-102.1002711,1,,2022-07-11T20:00:00.000Z
MMH-Guest,00:15:F9:1A:E6:83,none,32.00030233,-102.0921662,1,,2022-07-11T20:00:00.000Z
Verizon-MiFi6620L-0ACD,00:15:FF:9D:0A:CD,wpa2,32.01210778,-102.0969184,11,,2022-07-11T20:00:00.000Z
VerizonMiFi7730L5F12,00:15:FF:E6:5F:12,wpa2,32.006168,-102.0977417,149,,2021-12-15T09:00:00.000Z
